"player.givenName","player.surname","opponent","predicted_disposals","line","model_odds","pb_odds","ev_pb"
"Bailey","Dale","Carlton",27,26,1.51534586397026,2.2,0.451813775527071
"Toby","Greene","Waalitj Marawar",23.2,22,1.50236766051386,2.15,0.431074467660355
"Bailey","Dale","Carlton",27,25,1.32637447698537,1.87,0.409858250778614
"Lloyd","Meek","Narrm",14.7,14,1.56233094815351,2.2,0.408152352483414
"Bailey","Dale","Carlton",27,24,1.20209785818844,1.69,0.405875560369793
"Max","Heath","Hawthorn",10.8,10,1.31307402925834,1.83,0.393676182167459
"Ned","Reeves","Narrm",9.7,15,6.12686065691007,8.5,0.38733365682365
"Bailey","Dale","Carlton",27,27,1.80278325914525,2.5,0.386744627962275
"Toby","Greene","Waalitj Marawar",23.2,21,1.32716642626582,1.83,0.37887755731508
"Lloyd","Meek","Narrm",14.7,13,1.33644370396774,1.83,0.369305713788733
"Henry","Hustwaite","Narrm",17.6,16,1.19389704336458,1.63,0.365276854532123
"Toby","Greene","Waalitj Marawar",23.2,23,1.76190865288207,2.4,0.362159153980063
"Ned","Reeves","Narrm",9.7,13,3.51797408049666,4.75,0.350208924600547
"Toby","Greene","Waalitj Marawar",23.2,20,1.20889845365261,1.63,0.348334920170552
"Bailey","Dale","Carlton",27,23,1.12129211071484,1.5,0.337742400634327
"Wayne","Milera","North Melbourne",27.2,26,1.57121494333675,2.1,0.336545333218565
"Wayne","Milera","North Melbourne",27.2,27,1.80244118659132,2.4,0.331527496072565
"Lloyd","Meek","Narrm",14.7,12,1.19574112675561,1.59,0.32971925479734
"Toby","Greene","Waalitj Marawar",23.2,24,2.14986082402953,2.85,0.325667209776951
"Ned","Reeves","Narrm",9.7,12,2.79591916621035,3.7,0.323357286117486
"Ned","Reeves","Narrm",9.7,14,4.56752172571604,6,0.313622651473954
"Wayne","Milera","North Melbourne",27.2,25,1.40386930205341,1.83,0.303540149587501
"Wayne","Milera","North Melbourne",27.2,24,1.28246358732516,1.67,0.302181220975736
"Henry","Hustwaite","Narrm",17.6,15,1.0780886067743,1.4,0.298594560041665
"Lloyd","Meek","Narrm",14.7,15,1.92584057025591,2.5,0.298134455474575
"Ned","Reeves","Narrm",9.7,16,8.50049747833077,11,0.294041910845911
"Max","Heath","Hawthorn",10.8,11,1.74720469507099,2.25,0.287771264779359
"Toby","Greene","Waalitj Marawar",23.2,19,1.12983084649679,1.44,0.274527071432809
"Henry","Hustwaite","Narrm",17.6,17,1.43794830521479,1.83,0.272646584973472
"Bailey","Dale","Carlton",27,22,1.06996952435949,1.36,0.271064239716669
"Wayne","Milera","North Melbourne",27.2,28,2.12425096719892,2.7,0.27103625781104
